protein1,protein2,weight
RABGEF1,SRP54,0.169
RPL4,DEPTOR,0.169
UCHL5,CASP8,0.169
BMP2,CCNA1,0.169
CCND1,PARD3,0.169
CNOT1,RPL21,0.169
TSR2,CTR9,0.169
DDX23,RPS26,0.169
TSC1,CUL1,0.169
STIP1,RPL11,0.169
STIP1,LSM3,0.169
ELL2,NOTCH2,0.169
HMG20B,MYC,0.169
H3-3B,CACNA1C,0.169
STAT2,NANOG,0.169
CARD11,IFNGR1,0.169
WDR75,NDUFS3,0.169
RPS6,NUDT21,0.169
XPA,CTNNB1,0.169
RPL15,RELA,0.169
EGFR,MT-ND1,0.169
NFRKB,KMT2D,0.169
NDUFS7,RPL18A,0.169
TOMM70,BCKDHB,0.169
PSMD14,NELFE,0.169
CARD11,INO80B,0.169
VAMP3,SEC13,0.169
CENPO,DCLRE1B,0.169
CPSF3,RPF2,0.169
NOTCH2,CX3CL1,0.169
TSC1,RPL21,0.169
POLR2A,TTI1,0.169
LSM3,NDUFB7,0.169
RPS10,NCBP1,0.169
CCL20,RPL4,0.169
BMP2,CX3CL1,0.169
RPS10,B2M,0.169
NOTCH2,DEPTOR,0.169
RPS10,PSMD12,0.169
SMAD2,RPS14,0.169
MT-ND1,EGFR,0.169
LSM3,STIP1,0.169
DSN1,NDUFS7,0.169
RPL4,CCL20,0.169
KANSL2,HAUS5,0.169
MYC,HAT1,0.169
XPA,SNX3,0.169
XPA,TNF,0.169
LSM3,POLR2D,0.169
DSN1,LEO1,0.169
MYC,CNOT11,0.169
UBE2M,BABAM1,0.169
DSN1,NDUFS4,0.169
PSMD14,INTS5,0.169
TAF4,MAGOH,0.169
UBE2M,CDC5L,0.169
BARD1,KMT2D,0.169
POLR2A,RPL21,0.169
CENPO,RPL23A,0.169
RPL4,CNOT2,0.169
DSN1,CDK6,0.169
CCND1,P4HB,0.169
PRKAA1,DDX6,0.169
BMP2,RPL7,0.169
CENPC,RPS6,0.169
CENPC,SIRT1,0.169
MYL3,CENPI,0.169
CENPC,SNAPC5,0.169
CDC73,NCL,0.169
WDR5,BTRC,0.169
NOTCH2,TPM1,0.169
RPS6,NLGN3,0.169
FN1,IL21,0.169
NOTCH2,RIPK1,0.169
PRKAA1,CENPI,0.169
RPS10,EIF2B1,0.169
NOTCH2,ELL2,0.169
MYL3,COX7A1,0.169
RANBP2,FADD,0.169
CENPO,RPL35A,0.169
BARD1,WDR46,0.169
CENPC,EMC4,0.169
LGR5,CCNE2,0.169
NOTCH2,CALML5,0.169
KPNA1,USP10,0.169
RPL10A,NDUFB11,0.169
CENPO,PDCD11,0.169
RPLP0,MT-ND3,0.169
GAS1,NABP2,0.169
RPL14,AP2B1,0.169
RPLP0,RAD17,0.169
DDX23,IFNGR1,0.169
RPL14,RNF7,0.169
PSMA5,LSM7,0.169
DCLRE1B,PRPF3,0.169
RPL13,SAP18,0.169
DCLRE1B,MTF2,0.169
RPL13,SRCAP,0.169
RPLP0,NDUFB11,0.169
SETD1A,CSTF2,0.169
LSM10,DKC1,0.169
DCLRE1B,CENPO,0.169
RBM22,RELA,0.169
F5H5P2_HUMAN,MDM2,0.169
CENPC,PSMB3,0.169
PWP2,TAF5,0.169
CDKN1A,AP2S1,0.169
RPL21,POLR2A,0.169
SNRNP200,PTCD3,0.169
NUP37,SKP2,0.169
VPS16,SNAPIN,0.169
KNTC1,INTS13,0.169
NDUFB3,MRPS11,0.169
RBM22,IGFALS,0.169
GRIN1,NOTCH1,0.169
NUP155,EMC9,0.169
RPL13,FGFR1,0.169
PSMB1,GNB3,0.169
NOTCH2,TNFRSF1B,0.169
BARD1,USP14,0.169
PARVA,APBB1IP,0.169
ELOB,RPL7,0.169
RPLP0,FGF7,0.169
RPL13,SNRPD3,0.169
RPL21,TSC1,0.169
IMP3,TIMM23,0.169
BLM,SNRNP200,0.169
GEMIN2,DSCC1,0.169
BLM,UPF1,0.169
H3-2,SNAP25,0.169
PRPF38A,PSMC3,0.169
HAT1,MYC,0.169
KNTC1,APOA1,0.169
FGFR2,NRG2,0.169
POLR2I,NOC4L,0.169
SKP1,FANCL,0.169
RPL13,H3-2,0.169
KPNA1,PRPF8,0.169
IL21,FN1,0.169
SF3B2,MTA2,0.169
PRPF38A,NUP205,0.169
RPL21,CNOT1,0.169
POLR1C,MFAP1,0.169
VPS16,UNC93B1,0.169
IL21,KLRB1,0.169
CD200,HLA-C,0.169
PRPF38A,SUPT4H1,0.169
SKP1,NUP88,0.169
ELOB,XIAP,0.169
CDKN1A,RNF7,0.169
FGFR2,SMN1,0.169
FGFR2,CDK2,0.169
CD200,ROBO2,0.169
CD200,H3-3B,0.169
LAMTOR5,NDUFA5,0.169
CCNB2,JAK2,0.169
CHTF18,TRRAP,0.169
PRPF19,PSMC2,0.169
PSMA7,SNRPB,0.169
POMP,POLR2L,0.169
TRAPPC10,RAB5A,0.169
MRTO4,MAGOH,0.169
POLR2I,PSMB7,0.169
PSMD4,HADHB,0.169
RPL12,EMC8,0.169
ITSN1,GAPDH,0.169
NDUFB3,GTF2F2,0.169
LAMTOR5,NDUFA8,0.169
CDKN1A,RPL3,0.169
RPL27A,TOMM20,0.169
RPL27A,B2M,0.169
RPL6,TIMM23,0.169
H3-2,RPL13,0.169
SF3A3,RPS2,0.169
RBM22,LGR5,0.169
RPL12,PCNA,0.169
INTS11,TARBP2,0.169
H3-2,MXD1,0.169
SKP1,IFNAR1,0.169
CDKN1A,MC1R,0.169
COX5A,MRPS5,0.169
STAT3,HAUS4,0.169
RPL12,DEPTOR,0.169
B2M,RPL27A,0.169
MICU1,LOC102724788,0.169
B2M,RPS10,0.169
POMP,TAF1C,0.169
MYC,LAMTOR3,0.169
RPL6,LOC102724788,0.169
SF3A3,SNX5,0.169
RPL6,UPF2,0.169
POMP,MRPS10,0.169
NCBP2,DCAF1,0.169
ITGB2,C8G,0.169
RPL23,DCAF1,0.169
LEO1,RUVBL1,0.169
LGR5,IFNLR1,0.169
H3-2,BUD31,0.169
RPA2,CKS1B,0.169
INTS11,SMAD2,0.169
RPL23,FTH1,0.169
ARNT,NOTCH3,0.169
ARNT,SHC1,0.169
TOMM40,AP2S1,0.169
RPS27A,WDR33,0.169
KRIT1,TAF2,0.169
CHTF18,KAT2A,0.169
EMC9,NUP155,0.169
LEO1,DSN1,0.169
SF3B2,UBC,0.169
RRP7A,XAB2,0.169
CHTF18,INTS1,0.169
DDX6,PSMA4,0.169
LGR5,RYR2,0.169
DPAGT1,PDIA3,0.169
PALB2,KCNQ1,0.169
KCNQ1,NDUFAB1,0.169
H3-2,CDK5R1,0.169
EDC4,TNF,0.169
RPL3,CDKN1A,0.169
RPL3,ARPC1A,0.169
DPAGT1,CENPW,0.169
B2M,COX7A2,0.169
PALB2,XAB2,0.169
B2M,HDAC2,0.169
EIF2B4,CRCP,0.169
PSMC6,ARPC5,0.169
WDR75,TADA1,0.169
KCNQ1,PALB2,0.169
EGFR,MVK,0.169
NACA,UBQLN4,0.169
NDUFB3,TOMM6,0.169
GSK3B,PYCARD,0.169
KRIT1,SUPT7L,0.169
SETD1A,TAF6,0.169
SNRNP200,BLM,0.169
PDS5A,HDAC2,0.169
SETD1A,TAF9,0.169
IL1B,OTUB1,0.169
PRPF19,CUL4A,0.169
NDUFS7,DSN1,0.169
B2M,MT-ND2,0.169
EIF2B4,PSMB8,0.169
PSMC6,NDUFS5,0.169
RPA1,SF3A3,0.169
SETD1A,CASP3,0.169
LSM8,API5,0.169
PRPF19,CNOT3,0.169
KCNQ1,MTOR,0.169
RPS15,LSM4,0.169
KCNQ1,NOTCH3,0.169
PFN3,FANCA,0.169
EGFR,TAF5L,0.169
SHC1,ARNT,0.169
TAF11,BDP1,0.169
IL1B,GNB3,0.169
SHC1,SEMA4D,0.169
PSMC6,PDIA3,0.169
CPSF6,PDS5B,0.169
CDK2,FGFR2,0.169
SHC1,SRRM2,0.169
PLK4,CHD3,0.169
SHC1,TIMM50,0.169
PSMC6,RPS23,0.169
HADHA,TOMM5,0.169
TOMM70,CTR9,0.169
PFN3,PTPN12,0.169
EMC7,PSMB7,0.169
RPS15,CNOT10,0.169
PFN3,APP,0.169
TNFSF14,FADD,0.169
LEO1,TAF9,0.169
SF3A3,RPA1,0.169
CASC3,RBM15B,0.169
PDS5A,RPS19,0.169
RPA1,RNPS1,0.169
SNAPC5,CENPC,0.169
RPS15,RPAP3,0.169
COX7A2,B2M,0.169
COX7A2,PSMD13,0.169
HIF1A,COX7C,0.169
SLIT1,MYC,0.169
SF3A3,RPF2,0.169
SF3A3,SRP54,0.169
PPOX,TOMM22,0.169
RPS20,CPSF6,0.169
RPS20,EIF2B1,0.169
STX4,GRIN2B,0.169
CASC3,RTF1,0.169
CASC3,DKC1,0.169
LIF,PCGF6,0.169
TNFSF14,SRC,0.169
LIF,KDM6A,0.169
EMC1,UTP15,0.169
NOTCH3,KCNQ1,0.169
UBQLN4,MAPKAP1,0.169
RPS20,EED,0.169
COX7A2,PSMC3,0.169
MAPK1,JAG2,0.169
CUL1,RRAGA,0.169
RPS20,SRRT,0.169
RND1,TRAPPC9,0.169
POLR3H,WDR75,0.169
MLLT3,CDK1,0.169
XPO1,VAV1,0.169
DKC1,RBBP4,0.169
HADHA,AAR2,0.169
TERF2IP,MRPS5,0.169
CASC3,VPS39,0.169
TUBB2A,ITGB1,0.169
SRCAP,HSPA8,0.169
RBM22,VPS26A,0.169
MLLT3,RAD51,0.169
SNRPD3,RPL13,0.169
NOC4L,SUN1,0.169
UTS2,TNF,0.169
CDK6,DSN1,0.169
DKC1,CCAR2,0.169
NOC4L,POLR2I,0.169
HADHA,FTH1,0.169
AMY1A,GRPEL1,0.169
WDR43,CPSF2,0.169
APOC3,SMN1,0.169
IL6,RPS29,0.169
RUVBL2,TADA1,0.169
NOC4L,TADA1,0.169
DKC1,LSM10,0.169
CRBN,CDC20,0.169
AP2M1,CALR,0.169
JAK2,LRP5,0.169
STAT3,UPF1,0.169
SIRT1,CENPC,0.169
IL6ST,EPAS1,0.169
CDK5,APBB1IP,0.169
DKC1,CASC3,0.169
GSK3B,STX6,0.169
TOMM22,RPL28,0.169
UBE2V1,PSMD8,0.169
SNX5,GAPDH,0.169
UBQLN4,NACA,0.169
RND1,ERBB3,0.169
EGFR,CASP5,0.169
RUVBL2,USP5,0.169
PSMA4,GABARAPL2,0.169
DKC1,SFTPB,0.169
SNX5,SF3A3,0.169
GAPDH,SNX5,0.169
PSMB5,DLD,0.169
CRBN,PTPN11,0.169
GSK3B,SCAP,0.169
JAK2,CCNB2,0.169
GTF2F2,NDUFB3,0.169
MUS81,EXOC6,0.169
PARP1,PSMB9,0.169
RND1,RPS5,0.169
NOTCH3,ARNT,0.169
CX3CL1,COL1A2,0.169
HIF1A,LMO2,0.169
BCAS2,NCL,0.169
IL1R1,PTK2B,0.169
LGR5,RBM22,0.169
GAPDH,USP10,0.169
EMG1,RPL32,0.169
CPSF2,WDR43,0.169
GIT1,NRXN2,0.169
UBE2V1,TRAPPC2,0.169
PSMB5,H3C13,0.169
SRC,NUP98,0.169
IL10RA,RUNX1,0.169
APP,TARBP2,0.169
PSMD2,ARPC1A,0.169
EXOC1,RAB35,0.169
XPO1,TBL3,0.169
MUS81,TBL3,0.169
GART,TOP3A,0.169
RPS3,APOB,0.169
RTF1,SUN2,0.169
SRCAP,RPL13,0.169
CALR,WDR61,0.169
SNRPE,DDB1,0.169
CX3CL1,RPL4,0.169
SNRPE,CNOT3,0.169
UBE2V1,VPS28,0.169
RPL9,XPOT,0.169
RTF1,CASC3,0.169
RTF1,KDM1A,0.169
SUFU,PTK2,0.169
NDUFB7,PSMC5,0.169
RTF1,SUN1,0.169
RND1,ACTR3,0.169
PSMB10,H3-4,0.169
RPS2,SF3A3,0.169
JAK2,FTL,0.169
SRC,E2F2,0.169
CCNA2,SF3B3,0.169
HIRA,XAB2,0.169
NDUFV3,RFC4,0.169
MYD88,CDKN3,0.169
CCNA2,IL6R,0.169
NDUFA2,POLR2K,0.169
IL21R,SFTPB,0.169
SIRT1,TADA3,0.169
H3C13,CNOT3,0.169
RPS3,PDHB,0.169
RBX1,KDR,0.169
MAPK1,DEPTOR,0.169
LAMTOR2,BTF3,0.169
RPS23,PSMC6,0.169
CUL1,TSC1,0.169
GPKOW,MLST8,0.169
PRPF8,KPNA1,0.169
SRCAP,CDC6,0.169
RPS23,SF3B1,0.169
FANCD2,RPL5,0.169
RIPK3,NFKBIE,0.169
RPS2,SMC3,0.169
PTCD3,SNRNP200,0.169
WDR75,POLR3H,0.169
PDHX,FECH,0.169
RUVBL2,PDHA1,0.169
CENPQ,SLF1,0.169
DPY30,LSM4,0.169
PTCD3,PCID2,0.169
PARP1,RACK1,0.169
TLR7,SNX2,0.169
ARPC1A,BLOC1S1,0.169
WDR33,RPL7A,0.169
DPY30,EIF2B1,0.169
BLOC1S1,ARPC1A,0.169
IRAK2,CDK1,0.169
SCAP,GSK3B,0.169
LSM5,UQCR10,0.169
CX3CL1,BMP2,0.169
BCL2,GPI,0.169
RAD52,SUPT4H1,0.169
LSM5,POLR2E,0.169
GABARAP,IGF1,0.169
PARP1,TTI1,0.169
CCNA2,SNRPD1,0.169
SIRT1,HBEGF,0.169
PSMA4,DAP3,0.169
CD1D,MALT1,0.169
SRC,KMT2C,0.169
TNFRSF10B,MEFV,0.169
NDUFB6,POLR2L,0.169
PSMA4,RAE1,0.169
CACNG2,ERBB4,0.169
CX3CL1,NOTCH2,0.169
AEBP2,UMPS,0.169
LMNA,IRAK4,0.169
TADA1,INTS13,0.169
NDUFB6,PSMC5,0.169
RBX1,ITGAE,0.169
PPP2R1A,RPL11,0.169
TNFRSF10B,EPAS1,0.169
TADA1,WDR75,0.169
PPIE,CALML6,0.169
TADA1,RUVBL2,0.169
STT3A,UTP15,0.169
APP,TPI1,0.169
XPO1,CUL5,0.169
NOTCH1,CASP10,0.169
SRC,HCFC1,0.169
CUL1,FANCI,0.169
LMO2,HIF1A,0.169
STT3A,VPS35,0.169
PSMA4,TXNL4A,0.169
CYB5B,SRPRB,0.169
H3C13,MXD1,0.169
UTP4,RNPS1,0.169
LMO2,E2F2,0.169
ERBB3,RND1,0.169
RANBP2,RPS4X,0.169
PSMA4,DDX6,0.169
WDR33,NIP7,0.169
GAPDH,NUP205,0.169
MRPS5,TERF2IP,0.169
PHKB,NDUFA3,0.169
TADA1,NOC4L,0.169
C8G,ITGB2,0.169
LMNA,HMGCR,0.169
CDC40,CHD4,0.169
SRC,FBL,0.169
SRC,TNFSF14,0.169
H3C13,PSMB5,0.169
CDC40,UTP15,0.169
H3C12,P4HB,0.169
PCSK9,CDKN3,0.169
POLR1D,PDHA1,0.169
EIF3CL,POLR3C,0.169
CUL3,KDR,0.169
COX6C,RPL18A,0.169
CNOT7,PSMB1,0.169
H3C13,SNAP25,0.169
CASP8,UCHL5,0.169
RPL8,SNRPB2,0.169
CFLAR,BRCA2,0.169
CYB5B,GABARAPL2,0.169
FANCG,RAD21,0.169
MRPS5,XRN2,0.169
HBEGF,SIRT1,0.169
PSMB2,RPS24,0.169
SNRPD3,UTP18,0.169
CPSF6,RPS20,0.169
MRPS5,POLR2H,0.169
EP400,POLR2I,0.169
PSMD8,CENPX,0.169
FANCG,PIGA,0.169
CASP8,JAG2,0.169
NDUFS4,UBE2V2,0.169
GAPDH,APOA4,0.169
FANCG,RPL11,0.169
RBX1,RHEB,0.169
RPS19,PDS5A,0.169
BCL10,CCNB1,0.169
CCND3,PSMC1,0.169
TOMM5,HADHA,0.169
TNNT2,DICER1,0.169
NOG,E2F1,0.169
CUL3,EIF3H,0.169
NCL,BCAS2,0.169
MAPK1,ARPC4,0.169
ARPC1A,PSMD2,0.169
TAF6,KAT5,0.169
SMG5,PRKAB2,0.169
EP400,AKT1,0.169
APP,VASP,0.169
KMT2A,GATA4,0.169
TAF6,SETD1A,0.169
PRPF3,DCLRE1B,0.169
NCL,CDC73,0.169
TAF6,E2F2,0.169
KIT,PIGA,0.169
GAPDH,ITSN1,0.169
IKBKG,RPS14,0.169
TOMM5,CKS1B,0.169
KAT2A,CHTF18,0.169
NDUFS4,DSN1,0.169
PSMB2,UQCRFS1,0.169
SIN3A,PES1,0.169
EMG1,ISY1,0.169
GRIN2A,NFKBIA,0.169
TNNT2,CDK1,0.169
ARPC5,PSMC6,0.169
TOMM6,LSM7,0.169
MRPS5,COX5A,0.169
XPC,PSMD8,0.169
MTOR,FBL,0.169
CDK4,NUP93,0.169
PSMB2,RPN2,0.169
IL17RA,IGF1,0.169
SIN3A,PAK4,0.169
IFNA10,APP,0.169
SIN3A,PTPN11,0.169
RPL9,TXNL4A,0.169
PSMB1,CNOT7,0.169
RPN2,PSMA2,0.169
SNW1,ECI2,0.169
CNOT10,CSTF2,0.169
CNOT10,SNUPN,0.169
MTOR,KCNQ1,0.169
TOMM6,NDUFB3,0.169
CNOT10,RPS15,0.169
CNOT10,EIF2B2,0.169
TOMM6,NDUFAB1,0.169
MTOR,AKAP9,0.169
PSMC4,RPS6KB1,0.169
RANBP2,NIP7,0.169
CDK4,BABAM2,0.169
MTOR,NDUFB2,0.169
RPN2,PSMB2,0.169
PSMC2,PRPF19,0.169
SNW1,POLR2D,0.169
KDM1A,PDS5B,0.169
PPIE,CALML4,0.169
IRAK4,LMNA,0.169
CUL4B,RPS4X,0.169
CWC25,EMC2,0.169
HSPD1,WDR3,0.169
E2F2,TAF6,0.169
IGF1,IL17RA,0.169
MTOR,EFNA1,0.169
CDK4,RNPS1,0.169
E2F2,LMO2,0.169
E2F2,SRC,0.169
HSPA8,NELFE,0.169
CREBBP,CENPN,0.169
TRIM33,MLLT1,0.169
PSMB1,BOP1,0.169
MTREX,INTS13,0.169
PSMC2,EED,0.169
CDK4,SS18,0.169
CCNB1,APOA1,0.169
SAP18,UTP15,0.169
BABAM2,CDH1,0.169
CCNB1,FANCB,0.169
PSMC2,XIAP,0.169
TUBB2A,REL,0.169
PSMC2,GRB2,0.169
BABAM1,UBE2M,0.169
MTOR,RPL32,0.169
LOC102724788,RPL6,0.169
WDR33,RPS27A,0.169
KDM1A,XIAP,0.169
CCNB1,BYSL,0.169
BABAM2,CDK4,0.169
LOC102724788,MICU1,0.169
CYC1,WDR61,0.169
GYS1,NDUFB10,0.169
KDM1A,FBL,0.169
TRIM33,STAT1,0.169
KDM1A,RTF1,0.169
MAP2K5,ERBB4,0.169
ARPC1A,RPL3,0.169
TERF1,RAB5A,0.169
CCNB1,BCL10,0.169
IL6R,MDM2,0.169
TRIM33,RPL4,0.169
PSMD12,RPS10,0.169
DMAP1,INTS9,0.169
GAPDH,NUP93,0.169
CCNB1,HAUS3,0.169
KDM1A,BACE1,0.169
LOC102724788,CALML3,0.169
SFTPB,IL21R,0.169
PSMD8,XPC,0.169
SFTPB,DKC1,0.169
PSMD12,EMC4,0.169
IL6R,CCNA2,0.169
SAP18,RPL13,0.169
PSMA6,MFAP1,0.169
PSMC4,RABGEF1,0.169
PSMA6,FTH1,0.169
PSMD10,HDAC2,0.169
CALML5,NOTCH2,0.169
TOMM7,NDUFS1,0.169
POLR2B,SLC3A2,0.169
RPL23A,TOMM22,0.169
RPL23A,H3-5,0.169
PSMD10,RUVBL1,0.169
PSMD12,MLST8,0.169
UQCR10,RPL28,0.169
HDAC1,RPS14,0.169
NCL,NUP205,0.169
ITGB1,TUBB2A,0.169
UIMC1,INO80B,0.169
NPRL3,AP5B1,0.169
RPN1,NUP160,0.169
TMEM30A,SRPRB,0.169
CTNNB1,GNB3,0.169
DDOST,PPIE,0.169
BCKDHB,TOMM70,0.169
CCDC22,HAUS6,0.169
NOTCH1,GRIN1,0.169
CCDC22,HAUS7,0.169
EPHA2,IFNA17,0.169
NCL,SMU1,0.169
ITGAV,JAG2,0.169
EXOC2,INTS2,0.169
RPL23A,CENPO,0.169
PRPF6,HADHB,0.169
CASP1,TUBA1A,0.169
INO80C,GTF2B,0.169
RANBP2,RPS19,0.169
UQCR10,LSM5,0.169
CHD4,NUP205,0.169
EPHA2,DSP,0.169
EDC3,RPS18,0.169
PIH1D1,RPL32,0.169
EXOC2,SNX1,0.169
INO80B,HSPA9,0.169
CCDC22,SNAPC2,0.169
IL17B,TNFRSF1B,0.169
PAK4,SIN3A,0.169
RPL23A,ACTG1,0.169
HAUS6,CCDC22,0.169
SYNE1,MYL2,0.169
PSMD10,RHEB,0.169
PSMC5,NDUFB7,0.169
RPS6,CENPC,0.169
NUP88,SKP1,0.169
IFNA16,EPHA2,0.169
CARD9,FN1,0.169
HCFC1,SRC,0.169
INO80B,CARD11,0.169
RPAP3,RPS15,0.169
JAG2,MAP3K3,0.169
LSM2,UTP18,0.169
RFC3,SNRPC,0.169
NUP88,BTF3,0.169
PSMD10,WDR61,0.169
TNFRSF12A,CDC42,0.169
JAG2,CASP8,0.169
PTPN12,PFN3,0.169
HCFC1,NELFA,0.169
UBE2V2,RPL13A,0.169
RPAP3,NIFK,0.169
ACTR3,RND1,0.169
FANCI,CUL1,0.169
INO80B,UIMC1,0.169
TAF9,SETD1A,0.169
EIF3H,CUL3,0.169
UBE2V2,NDUFS4,0.169
RELA,RBM22,0.169
ELOC,USP10,0.169
RPS29,SRRT,0.169
UBE2V2,CNOT2,0.169
NUP153,RPL5,0.169
NOL6,RPL26,0.169
ROBO2,CD200,0.169
UBE2V2,VPS35,0.169
EPHA2,ACTG1,0.169
RPS14,SMAD2,0.169
SLC3A2,POLR2B,0.169
EPHA2,IFNA16,0.169
CDC42,TRAPPC3,0.169
IGF1,GABARAP,0.169
POLR3B,TAF6L,0.169
EIF3H,SNRPA,0.169
KAT5,NOTCH4,0.169
HLA-C,CD200,0.169
RPS14,HDAC1,0.169
JAG2,LDB1,0.169
MC1R,CDKN1A,0.169
RPS29,IL6,0.169
VPS28,UBE2V1,0.169
SLC3A2,SHH,0.169
DCP1A,GTF2B,0.169
PATL1,RPS19,0.169
VPS28,RABGEF1,0.169
PATL1,PRPF31,0.169
VPS28,SNX3,0.169
TOMM22,PPOX,0.169
SLC3A2,H3-3B,0.169
FANCI,OTUB1,0.169
NDUFAB1,TOMM6,0.169
JAG2,MAPK1,0.169
EIF3H,PDIA3,0.169
POLR2B,SMU1,0.169
EIF3H,NCL,0.169
RPS29,API5,0.169
SRP54,RABGEF1,0.169
LMNA,PIH1D1,0.169
NDUFAB1,KCNQ1,0.169
IFNAR2,SNRPG,0.169
PPIE,DDOST,0.169
PSMC3,COX7A2,0.169
CDC20,WDR61,0.169
POLR2B,INO80E,0.169
CHD4,CDC40,0.169
GNG2,DLGAP1,0.169
FECH,PDHX,0.169
TRAPPC9,RND1,0.169
SRP54,SF3A3,0.169
RFC4,NDUFV3,0.169
WDR46,BARD1,0.169
PIH1D1,MAP3K3,0.169
TOMM22,FKBP1B,0.169
AKT1,EP400,0.169
MT-ND3,RPLP0,0.169
PSMD8,UBE2V1,0.169
GABARAPL1,PYCARD,0.169
FANCI,NPM1,0.169
MYH7,EZH2,0.169
MDM2,BCKDHA,0.169
TIMM44,AHCTF1,0.169
PSMD10,HAUS1,0.169
PSMC5,NDUFB6,0.169
AMT,FTL,0.169
MDM2,F5H5P2_HUMAN,0.169
UMPS,AEBP2,0.169
PSMC3,PRPF38A,0.169
MYH7,NXF1,0.169
GATAD2B,UPF3B,0.169
FANCA,NANOG,0.169
POLR2B,IL20RB,0.169
PIH1D1,LMNA,0.169
CALML5,RPS14,0.169
PHF21A,APAF1,0.169
FANCA,GRB2,0.169
INTS14,SF3B1,0.169
KAT5,CENPH,0.169
PHF21A,EFTUD2,0.169
CNOT11,MYC,0.169
TSTA3,RHOT1,0.169
RICTOR,CAMK2A,0.169
FANCA,PFN3,0.169
UMPS,INTS10,0.169
TSTA3,NDUFV1,0.169
MDM2,SAP30,0.169
MDM2,IL6R,0.169
GABARAPL1,GAPDHS,0.169
BYSL,HSPA4,0.169
MXD1,H3-5,0.169
NDUFV2,PSMD1,0.169
CDC42,PSMD2,0.169
AKT1,SEH1L,0.169
JAG2,CSF1,0.169
TSTA3,P4HB,0.169
BYSL,CCNB1,0.169
RPL8,BCKDHA,0.169
CDH1,TARBP2,0.169
KDR,RIPK1,0.169
BTRC,WDR5,0.169
ADRM1,MFAP1,0.169
TUBB2A,FCF1,0.169
JAG2,ITGAV,0.169
PSMD10,RPS7,0.169
KDR,RBX1,0.169
BRCC3,HSPA4,0.169
PSMD8,BUD31,0.169
MYH7,PTPRC,0.169
KDR,CUL3,0.169
MYH7,HDAC2,0.169
DDX6,PRKAA1,0.169
CDC5L,UBE2M,0.169
RPS19,PATL1,0.169
RPS14,RBBP7,0.169
MXD1,H3C13,0.169
KAT5,TAF6,0.169
UMPS,FCF1,0.169
RPAP3,TSG101,0.169
RBBP7,RPS14,0.169
CDC6,SRCAP,0.169
MT1E,PTPRC,0.169
RFC4,TRRAP,0.169
MXD1,H3-2,0.169
RICTOR,FADD,0.169
VPS35,UBE2V2,0.169
SEM1,PSMB3,0.169
CEP152,RPL36A,0.169
VPS35,FTL,0.169
CCAR2,DKC1,0.169
NDUFV2,RAN,0.169
TNF,TAL1,0.169
RPL35A,TUBA1A,0.169
BRCC3,RUVBL1,0.169
RPS6,DCP2,0.169
VPS35,NDUFS1,0.169
PTPRC,KDM6A,0.169
PIH1D1,RPL24,0.169
EIF2S1,SNRPB,0.169
NIFK,RPAP3,0.169
AKT1,TERF2,0.169
TNF,EDC4,0.169
SNX3,VPS28,0.169
SNX3,XPA,0.169
SNX3,YEATS4,0.169
NIP7,RANBP2,0.169
EIF2B1,DPY30,0.169
CDC42,TNFRSF12A,0.169
EIF2B1,RPS10,0.169
FOXO3,RMND5A,0.169
PTPRC,MYH7,0.169
INTS1,CHTF18,0.169
SNX2,TLR7,0.169
BCAR1,MLLT1,0.169
TAF9,LEO1,0.169
PTPRC,MT1E,0.169
ERBB2,GNB3,0.169
VPS35,STT3A,0.169
CNOT3,SNRPE,0.169
AFF4,PDS5B,0.169
TNF,XPA,0.169
TAF5L,EGFR,0.169
CWC22,NOL10,0.169
KDR,FIP1L1,0.169
POLR3E,GATAD2A,0.169
DLD,PSMB5,0.169
CWC22,ACTR6,0.169
ADRM1,RRP9,0.169
EIF2B1,PSMB4,0.169
CWC22,NUP107,0.169
UBE2N,RPL10,0.169
CDC5L,WTAP,0.169
TNF,UTS2,0.169
CNOT3,H3C13,0.169
XRCC3,RPTOR,0.169
RBBP7,SF3B5,0.169
STX6,GSK3B,0.169
TUBA1B,SMC3,0.169
APOA4,GAPDH,0.169
PMF1,TERF2,0.169
AFF4,WDR74,0.169
APBB1IP,PARVA,0.169
CNOT3,PRPF19,0.169
LY96,FGF7,0.169
ADRM1,TOMM20,0.169
XRCC3,ACTB,0.169
GATAD2A,EZH1,0.169
EIF2B1,RPS20,0.169
CDC20,DSP,0.169
FTH1,HADHA,0.169
FLT1,CCRL2,0.169
MEFV,TNFRSF10B,0.169
FOXO3,SELP,0.169
IL20RB,POLR2B,0.169
RPS14,CALML5,0.169
NIP7,TAF1B,0.169
LSM4,CDK1,0.169
DLGAP1,GNG2,0.169
APBB1IP,CDK5,0.169
PARD3,ILK,0.169
NIP7,CENPW,0.169
PSMD8,RBBP4,0.169
GATAD2A,POLR3E,0.169
COX7A1,MYL3,0.169
RBBP7,ACTR6,0.169
NIP7,WDR33,0.169
E2F1,DCAF4,0.169
CRNKL1,MTA2,0.169
INTS10,METTL14,0.169
ITGB3BP,DXO,0.169
E2F1,NOG,0.169
DCAF4,E2F1,0.169
WDR26,CHD3,0.169
PARD3,CCND1,0.169
TRAPPC5,NDUFA7,0.169
APOB,RPS3,0.169
AFF4,EZH1,0.169
POLR3C,SF3B3,0.169
CENPI,PDCD11,0.169
POLR3C,EIF3CL,0.169
FTH1,NDC1,0.169
